Anglais,Kurmanji,Sorani
Hello,Slav,سڵاو
Good evening,Şev baş,ئێوارە باش
Good night,Şev baş,شەو باش
Hi,Silav,سڵاو
Goodbye,Bi xatirê te,خوات لەگەڵ
How are you?,Tu çawa yî ?,چۆنی؟
I am fine,Ez baş im,من باشم
Thank you,Spas,سوپاس
Thank you very much,Zêde spas,زۆر سوپاس
Please,Ji kerema xwe,تکایە
You're welcome,Ser çavan,فەرموو
Yes,Erê,بەڵێ
No,Na,نەخێر
Excuse me,Bibore,ببوورە
I'm sorry,Min biborî,داوای لێبوردن دەکەم
Nice to meet you,Kef xweş,خۆشحاڵم بە ناسینت
What is your name?,Navê te çi ye ?,ناوت چییە؟
My name is...,Navê min ... e,ناوی من... ە
I'm not well,Ez nebaş im,من باش نیم
And you?,Tu çawa yî ?,تۆ چۆنی؟
